bus,plateNumber,route_id,request_id,user_id,request_created_at,route_departure_name,route_departure_id,route_arrival_name,route_arrival_id,request_accepted_at,request_etd,request_eta,route_atd,route_ata,passengers,request_departure_name,request_departure_id,request_arrival_name,request_arrival_id,status
1,IPT 7084,202,222,27,2024-04-22 07:30:49.103000,Gymnasio,4,Plateia Glyfadas,1,2024-04-22 07:30:49.110095,2024-04-22 07:30:49.000000,2024-04-22 07:38:29.000000,2024-04-22 07:41:42.134820,2024-04-22 07:52:25.946136,1,Gymnasio,4,Plateia Glyfadas,1,COMPLETED
2,IPO 7757,204,223,24,2024-04-22 07:34:54.724000,Aigaiou,7,Plateia Vergoti,2,2024-04-22 07:34:54.997446,2024-04-22 07:34:54.000000,2024-04-22 07:46:51.000000,2024-04-22 07:43:50.369978,2024-04-22 07:56:52.453231,1,Aigaiou,7,Plateia Vergoti,2,COMPLETED
3,IPT 7081,203,224,23,2024-04-22 07:36:29.670000,Trochaia,9,Agios Tryfon,10,2024-04-22 07:36:30.856541,2024-04-22 07:46:24.000000,2024-04-22 08:01:17.000000,2024-04-22 07:43:02.039726,2024-04-22 07:49:49.866302,1,Trochaia,9,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,207,224,23,2024-04-22 07:36:29.670000,Agios Tryfon,10,Plateia Glyfadas,1,2024-04-22 07:36:30.856541,2024-04-22 07:46:24.000000,2024-04-22 08:01:17.000000,2024-04-22 07:49:50.429401,2024-04-22 08:04:18.716903,1,Trochaia,9,Plateia Glyfadas,1,COMPLETED
4,ITN 1930,205,225,86,2024-04-22 07:38:29.836000,Plateia Karaiskaki,11,Plateia Glyfadas,1,2024-04-22 07:38:30.233285,2024-04-22 07:52:55.000000,2024-04-22 08:06:28.000000,2024-04-22 07:46:01.998536,2024-04-22 07:46:41.186930,1,Plateia Karaiskaki,11,Plateia Glyfadas,1,COMPLETED
3,IPT 7081,207,227,25,2024-04-22 07:40:31.781000,Agios Tryfon,10,Plateia Glyfadas,1,2024-04-22 07:40:31.991148,2024-04-22 07:50:43.000000,2024-04-22 08:01:17.000000,2024-04-22 07:49:50.429401,2024-04-22 08:04:18.716903,1,Agios Tryfon,10,Plateia Glyfadas,1,COMPLETED
4,ITN 1930,206,228,86,2024-04-22 07:47:20.668000,Plateia Karaiskaki,11,Plateia Glyfadas,1,2024-04-22 07:47:20.958665,2024-04-22 08:01:22.000000,2024-04-22 08:14:55.000000,2024-04-22 07:47:42.485434,2024-04-22 08:04:31.998339,1,Plateia Karaiskaki,11,Plateia Glyfadas,1,COMPLETED
4,ITN 1930,206,229,47,2024-04-22 07:47:23.351000,Plateia Karaiskaki,11,Plateia Glyfadas,1,2024-04-22 07:47:23.283093,2024-04-22 08:01:22.000000,2024-04-22 08:09:26.000000,2024-04-22 07:47:42.485434,2024-04-22 08:04:31.998339,1,Plateia Karaiskaki,11,Plateia Vergoti,2,COMPLETED
4,ITN 1930,208,229,47,2024-04-22 07:47:23.351000,Plateia Glyfadas,1,Plateia Vergoti,2,2024-04-22 07:47:23.283093,2024-04-22 08:01:22.000000,2024-04-22 08:09:26.000000,2024-04-22 08:04:32.372158,2024-04-22 08:08:23.274548,1,Plateia Karaiskaki,11,Plateia Vergoti,2,COMPLETED
4,ITN 1930,212,230,27,2024-04-22 08:06:43.656000,Plateia Glyfadas,1,Plateia Vergoti,2,2024-04-22 08:06:43.651830,2024-04-22 08:14:36.000000,2024-04-22 08:26:57.000000,2024-04-22 08:13:52.406129,2024-04-22 08:16:12.607882,1,Plateia Glyfadas,1,Aigaiou,7,COMPLETED
