bus,plateNumber,request_id,user_id,request_created_at,request_cancelled_at,request_etd,request_eta,passengers,request_departure_name,departure_id,request_arrival_name,request_arrival_id,status
4,ITN 1930,226,47,2024-04-22 07:38:47.744000,2024-04-22 07:46:02.008545,2024-04-22 07:52:55.000000,2024-04-22 08:09:01.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
3,IPT 7081,232,86,2024-04-22 08:07:15.676000,2024-06-10 10:23:44.166988,2024-04-22 08:07:49.000000,2024-04-22 08:10:21.000000,1,Plateia Glyfadas,1,Plateia Vergoti,2,CANCELLED
3,IPT 7081,235,86,2024-04-22 08:09:46.832000,2024-06-10 10:23:44.167001,2024-04-22 08:12:32.000000,2024-04-22 08:15:03.000000,1,Plateia Glyfadas,1,Plateia Vergoti,2,CANCELLED
3,IPT 7081,237,47,2024-04-22 08:13:04.013000,2024-04-22 08:17:31.356806,2024-04-22 08:25:28.000000,2024-04-22 08:34:34.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
4,ITN 1930,244,28,2024-04-22 08:45:21.565000,2024-04-22 08:54:40.585071,2024-04-22 08:53:28.000000,2024-04-22 09:01:46.000000,2,Plateia Glyfadas,1,Gymnasio,4,CANCELLED
4,ITN 1930,255,86,2024-04-22 09:33:04.237000,2024-06-10 10:23:44.167045,2024-04-22 09:47:41.000000,2024-04-22 10:01:14.000000,1,Plateia Karaiskaki,11,Plateia Glyfadas,1,CANCELLED
4,ITN 1930,256,47,2024-04-22 09:33:19.322000,2024-04-22 09:35:48.389950,2024-04-22 09:47:41.000000,2024-04-22 10:03:47.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
3,IPT 7081,267,30,2024-04-22 10:49:15.202000,2024-04-22 10:57:26.090002,2024-04-22 11:01:53.000000,2024-04-22 11:04:43.000000,1,Plateia Vergoti,2,Plateia Glyfadas,1,CANCELLED
1,IPT 7084,268,27,2024-04-23 09:09:34.454000,2024-04-23 09:09:47.298486,2024-04-23 09:09:34.000000,2024-04-23 09:15:15.000000,1,Plateia Vergoti,2,Trochaia,9,CANCELLED
2,IPO 7757,269,47,2024-04-23 09:09:38.949000,2024-04-23 09:09:47.464242,2024-04-23 09:09:38.000000,2024-04-23 09:18:45.000000,1,Plateia Vergoti,2,Gymnasio,4,CANCELLED
3,IPT 7081,270,24,2024-04-23 09:09:39.274000,2024-04-23 09:09:47.631767,2024-04-23 09:09:39.000000,2024-04-23 09:19:30.000000,1,Plateia Vergoti,2,Aigaiou,7,CANCELLED
1,IPT 7084,271,27,2024-04-23 09:10:11.914000,2024-04-23 09:10:51.255943,2024-04-23 09:10:11.000000,2024-04-23 09:15:52.000000,1,Plateia Vergoti,2,Trochaia,9,CANCELLED
3,IPT 7081,281,86,2024-04-23 09:33:36.251000,2024-06-10 10:23:44.167073,2024-04-23 09:46:34.000000,2024-04-23 09:49:24.000000,1,Plateia Vergoti,2,Plateia Glyfadas,1,CANCELLED
1,IPT 7084,285,28,2024-04-23 09:49:31.218000,2024-04-23 10:02:26.471883,2024-04-23 09:49:31.000000,2024-04-23 09:52:32.000000,2,Trochaia,9,DEI,8,CANCELLED
1,IPT 7084,287,86,2024-04-23 10:01:06.448000,2024-06-10 10:23:44.167091,2024-04-23 10:19:50.000000,2024-04-23 10:27:40.000000,1,Gymnasio,4,Plateia Glyfadas,1,CANCELLED
1,IPT 7084,288,24,2024-04-23 10:01:11.424000,2024-04-23 10:23:03.719465,2024-04-23 10:05:22.000000,2024-04-23 10:19:50.000000,1,Agios Tryfon,10,Plateia Vergoti,2,CANCELLED
1,IPT 7084,289,27,2024-04-23 10:01:25.716000,2024-04-23 10:23:27.101596,2024-04-23 10:24:56.000000,2024-04-23 10:30:13.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
1,IPT 7084,290,47,2024-04-23 10:02:14.870000,2024-04-23 10:49:06.754652,2024-04-23 10:09:43.000000,2024-04-23 10:30:13.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
1,IPT 7084,291,23,2024-04-23 10:13:09.600000,2024-04-23 10:38:59.355908,2024-04-23 10:28:41.000000,2024-04-23 10:38:32.000000,1,Plateia Vergoti,2,Aigaiou,7,CANCELLED
2,IPO 7757,294,28,2024-04-23 10:22:01.341000,2024-04-23 11:05:56.443663,2024-04-23 10:44:28.000000,2024-04-23 10:54:23.000000,1,Plateia Glyfadas,1,Kyprou,3,CANCELLED
2,IPO 7757,296,27,2024-04-23 10:23:38.310000,2024-04-23 10:23:58.575213,2024-04-23 10:41:06.000000,2024-04-23 10:46:23.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
2,IPO 7757,297,27,2024-04-23 10:24:06.357000,2024-04-23 10:24:08.671624,2024-04-23 10:41:34.000000,2024-04-23 10:46:51.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
2,IPO 7757,298,27,2024-04-23 10:24:16.694000,2024-04-23 11:05:56.443683,2024-04-23 10:41:45.000000,2024-04-23 10:47:01.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
1,IPT 7084,299,86,2024-04-23 10:41:24.210000,2024-06-10 10:23:44.167103,2024-04-23 11:03:21.000000,2024-04-23 11:11:02.000000,1,Gymnasio,4,Plateia Glyfadas,1,CANCELLED
1,IPT 7084,300,30,2024-04-23 10:41:29.927000,2024-04-23 10:41:37.663055,2024-04-23 11:03:17.000000,2024-04-23 11:07:37.000000,3,Antheon,6,Plateia Glyfadas,1,CANCELLED
1,IPT 7084,301,86,2024-04-23 10:45:23.508000,2024-06-10 10:23:44.167117,2024-04-23 11:12:37.000000,2024-04-23 11:19:58.000000,1,Plateia Vergoti,2,Kyprou,3,CANCELLED
3,IPT 7081,305,86,2024-04-24 07:15:00.262000,2024-06-10 10:23:44.167132,2024-04-24 07:21:07.000000,2024-04-24 07:23:40.000000,1,Plateia Glyfadas,1,Plateia Vergoti,2,CANCELLED
3,IPT 7081,308,29,2024-04-24 07:27:38.485000,2024-04-24 07:27:49.744072,2024-04-24 07:45:35.000000,2024-04-24 07:53:10.000000,1,Plateia Glyfadas,1,Kyprou,3,CANCELLED
1,IPT 7084,327,27,2024-04-24 08:29:33.552000,2024-04-24 08:29:35.560466,2024-04-24 08:32:16.000000,2024-04-24 08:44:40.000000,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
2,IPO 7757,342,47,2024-04-24 09:17:59.467000,2024-04-24 09:59:29.953672,2024-04-24 09:55:52.000000,2024-04-24 10:09:17.000000,1,Trochaia,9,Kyprou,3,CANCELLED
3,IPT 7081,344,30,2024-04-24 09:23:20.707000,2024-04-24 09:39:52.735115,2024-04-24 09:39:37.000000,2024-04-24 09:47:17.000000,2,Plateia Glyfadas,1,Agia Triada,5,CANCELLED
3,IPT 7081,350,25,2024-04-24 09:57:04.819000,2024-04-24 10:05:35.343264,2024-04-24 10:07:18.000000,2024-04-24 10:22:36.000000,1,Plateia Karaiskaki,11,Plateia Vergoti,2,CANCELLED
NULL,NULL,357,52,2024-04-24 14:11:13.613000,2024-04-24 14:11:14.139262,NULL,NULL,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
NULL,NULL,358,52,2024-04-24 14:11:19.258000,2024-04-24 14:11:19.797274,NULL,NULL,1,Plateia Glyfadas,1,Plateia Karaiskaki,11,CANCELLED
1,IPT 7084,368,27,2024-04-25 08:25:25.596000,2024-04-25 08:37:21.727347,2024-04-25 08:43:32.000000,2024-04-25 08:48:43.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
4,ITN 1930,369,27,2024-04-25 08:37:33.052000,2024-04-25 08:37:39.020237,2024-04-25 08:46:38.000000,2024-04-25 08:51:49.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
3,IPT 7081,370,27,2024-04-25 08:37:49.372000,2024-04-25 08:38:12.481826,2024-04-25 08:47:39.000000,2024-04-25 08:52:50.000000,1,Gymnasio,4,Kyprou,3,CANCELLED
3,IPT 7081,375,27,2024-04-25 08:55:58.570000,2024-04-25 08:56:00.993072,2024-04-25 08:55:58.000000,2024-04-25 09:00:53.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
4,ITN 1930,376,27,2024-04-25 08:56:44.015000,2024-04-25 08:56:48.803084,2024-04-25 09:06:57.000000,2024-04-25 09:11:51.000000,1,Kyprou,3,Plateia Vergoti,2,CANCELLED
